epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,790.617,2.00958,4.72274,1.54715,0.01204,0.32319,0.0258,0.01302,1.51348,4.38661,1.28647,0.000172411,0.000172411,0.000172411
2,1616.94,1.57982,3.52596,1.27627,0.3763,0.19354,0.12378,0.06567,1.48474,3.4405,1.30198,0.000344302,0.000344302,0.000344302
3,2423.43,1.43633,2.9819,1.20677,0.3059,0.34015,0.25044,0.14404,1.4199,3.02481,1.25729,0.000512721,0.000512721,0.000512721
4,3470.69,1.42376,2.72337,1.2025,0.35865,0.38928,0.33435,0.18739,1.40327,2.76515,1.22035,0.000510378,0.000510378,0.000510378
5,4637.94,1.37867,2.45765,1.16351,0.40658,0.3802,0.37806,0.21767,1.40989,2.62362,1.17829,0.00050517,0.00050517,0.00050517
6,6528.82,1.31452,2.25,1.1269,0.61885,0.41974,0.4498,0.26894,1.32653,2.42687,1.15049,0.000499963,0.000499963,0.000499963
7,7931.85,1.29936,2.16795,1.12622,0.57421,0.50786,0.49716,0.29149,1.3356,2.24937,1.1588,0.000494756,0.000494756,0.000494756
