epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.17,1.76928,2.58194,1.14247,0.50491,0.4303,0.40159,0.22359,1.52907,2.13801,1.07936,0.000173872,0.000173872,0.000173872
2,492.796,1.6654,2.18193,1.08602,0.55892,0.38477,0.40286,0.23061,1.46419,1.98057,1.04809,0.00033192,0.00033192,0.00033192
3,745.542,1.58736,2.04245,1.06079,0.54422,0.33461,0.33458,0.1943,1.44657,2.01078,1.05981,0.00047261,0.00047261,0.00047261
4,1021.02,1.56179,1.95553,1.0533,0.42277,0.29263,0.25336,0.15209,1.42731,1.8415,1.03289,0.000447889,0.000447889,0.000447889
5,1337.31,1.52165,1.85254,1.04534,0.60534,0.22481,0.23081,0.1373,1.41691,1.81103,1.03511,0.000421852,0.000421852,0.000421852
6,1712.37,1.47939,1.79381,1.03169,0.44687,0.1156,0.11076,0.06701,1.37201,1.73699,1.04771,0.000395815,0.000395815,0.000395815
7,2386.83,1.43577,1.73314,1.03447,0.53472,0.10589,0.10411,0.06375,1.38515,1.66658,1.03826,0.000369778,0.000369778,0.000369778
