epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.571,1.27289,2.08095,1.12758,0.62452,0.52347,0.55169,0.33982,1.26818,2.05063,1.14872,0.000174603,0.000174603,0.000174603
2,1230.49,1.26597,2.00044,1.11862,0.59669,0.38113,0.38189,0.23515,1.25257,1.99455,1.13864,0.000280649,0.000280649,0.000280649
3,2084.2,1.25175,1.91817,1.10221,0.55757,0.35377,0.3322,0.20194,1.24999,1.94854,1.12745,0.000317263,0.000317263,0.000317263
4,3108.7,1.25572,1.95262,1.114,0.43808,0.21793,0.20747,0.12674,1.23149,1.88343,1.12278,0.000213556,0.000213556,0.000213556
